"CPU","Function Name","Module","Inclusive","Exclusive","% Inclusive","% Exclusive","Comment"
"2","Idle","","48547","48547","96,02 %","96,02 %",""
"2","0x80121298","xboxkrnl.exe","175","147","0,35 %","0,29 %",""
"2","0x81B7E6C0","xam.xex","184","131","0,36 %","0,26 %",""
"2","0x800EA4D0","xboxkrnl.exe","64","64","0,13 %","0,13 %",""
"2","0x8007FF78","xboxkrnl.exe","37","37","0,07 %","0,07 %",""
"2","0x80072410","xboxkrnl.exe","75","32","0,15 %","0,06 %",""
"2","0x80121218","xboxkrnl.exe","42","30","0,08 %","0,06 %",""
"2","0x800EAD28","xboxkrnl.exe","510","27","1,01 %","0,05 %",""
"2","0x80085F94","xboxkrnl.exe","657","23","1,30 %","0,05 %",""
"2","0x8007FF40","xboxkrnl.exe","23","23","0,05 %","0,05 %",""
"2","0x819FBC58","xam.xex","21","21","0,04 %","0,04 %",""
"2","0x819EE2A0","xam.xex","24","21","0,05 %","0,04 %",""
"2","0x819FE1A0","xam.xex","41","20","0,08 %","0,04 %",""
"2","0x80081BF8","xboxkrnl.exe","25","19","0,05 %","0,04 %",""
"2","0x81927B68","xam.xex","94","19","0,19 %","0,04 %",""
"2","0x81A22ED0","xam.xex","376","17","0,74 %","0,03 %",""
"2","0x81A07060","xam.xex","94","17","0,19 %","0,03 %",""
"2","0x8007FF38","xboxkrnl.exe","16","16","0,03 %","0,03 %",""
"2","0x81A02210","xam.xex","14","14","0,03 %","0,03 %",""
"2","0x800887D8","xboxkrnl.exe","18","14","0,04 %","0,03 %",""
"2","0x819A47AC","xam.xex","14","14","0,03 %","0,03 %",""
"2","0x8007FFB0","xboxkrnl.exe","13","13","0,03 %","0,03 %",""
"2","0x819A47A4","xam.xex","13","13","0,03 %","0,03 %",""
"2","0x80072980","xboxkrnl.exe","109","13","0,22 %","0,03 %",""
"2","0x819EE9D0","xam.xex","12","12","0,02 %","0,02 %",""
"2","0x81A186C0","xam.xex","118","12","0,23 %","0,02 %",""
"2","0x80080058","xboxkrnl.exe","11","11","0,02 %","0,02 %",""
"2","0x81A552E8","xam.xex","22","11","0,04 %","0,02 %",""
"2","0x81A4F160","xam.xex","503","11","0,99 %","0,02 %","Recursive"
"2","0x819EA8F0","xam.xex","11","11","0,02 %","0,02 %",""
"2","0x819D97A0","xam.xex","11","11","0,02 %","0,02 %",""
"2","0x81A50F68","xam.xex","321","11","0,63 %","0,02 %",""
"2","0x800EB198","xboxkrnl.exe","60","10","0,12 %","0,02 %",""
"2","0x80083E44","xboxkrnl.exe","10","10","0,02 %","0,02 %",""
"2","0x8009B2A4","xboxkrnl.exe","10","10","0,02 %","0,02 %",""
"2","0x819FBD38","xam.xex","84","10","0,17 %","0,02 %",""
"2","0x81A284F0","xam.xex","28","10","0,06 %","0,02 %",""
"2","0x819FF9E0","xam.xex","34","10","0,07 %","0,02 %",""
"2","0x819F6600","xam.xex","147","10","0,29 %","0,02 %",""
"2","0x81A55500","xam.xex","10","10","0,02 %","0,02 %",""
"2","0x80082C08","xboxkrnl.exe","18","10","0,04 %","0,02 %",""
"2","0x81A55388","xam.xex","68","9","0,13 %","0,02 %",""
"2","0x81A241F8","xam.xex","11","9","0,02 %","0,02 %",""
"2","0x800EAB38","xboxkrnl.exe","9","9","0,02 %","0,02 %",""
"2","0x819EE440","xam.xex","11","9","0,02 %","0,02 %",""
"2","0x91F4C090","xbdm.xex","867","9","1,71 %","0,02 %",""
"2","0x819EFDB8","xam.xex","30","9","0,06 %","0,02 %",""
"2","0x81A4F748","xam.xex","221","9","0,44 %","0,02 %",""
"2","0x819ED618","xam.xex","22","9","0,04 %","0,02 %",""
"2","0x80090DA8","xboxkrnl.exe","9","8","0,02 %","0,02 %",""
"2","0x819FB980","xam.xex","8","8","0,02 %","0,02 %",""
"2","0x8007FF5C","xboxkrnl.exe","8","8","0,02 %","0,02 %",""
"2","0x80080000","xboxkrnl.exe","8","8","0,02 %","0,02 %",""
"2","0x819EA180","xam.xex","15","8","0,03 %","0,02 %",""
"2","0x8009B36C","xboxkrnl.exe","8","8","0,02 %","0,02 %",""
"2","0x800E9378","xboxkrnl.exe","13","8","0,03 %","0,02 %",""
"2","0x81A4FBC0","xam.xex","240","8","0,47 %","0,02 %",""
"2","0x819FC708","xam.xex","11","8","0,02 %","0,02 %",""
"2","0x81A4C710","xam.xex","196","8","0,39 %","0,02 %",""
"2","0x81A497B8","xam.xex","52","8","0,10 %","0,02 %",""
"2","0x80080060","xboxkrnl.exe","7","7","0,01 %","0,01 %",""
"2","0x81A26560","xam.xex","7","7","0,01 %","0,01 %",""
"2","0x8007FF54","xboxkrnl.exe","7","7","0,01 %","0,01 %",""
"2","0x819EA338","xam.xex","13","7","0,03 %","0,01 %",""
"2","0x819FF6F0","xam.xex","27","7","0,05 %","0,01 %",""
"2","0x81A01518","xam.xex","157","7","0,31 %","0,01 %",""
"2","0x8009B2A8","xboxkrnl.exe","7","7","0,01 %","0,01 %",""
"2","0x819EA260","xam.xex","18","7","0,04 %","0,01 %",""
"2","0x801211B4","xboxkrnl.exe","7","7","0,01 %","0,01 %",""
"2","0x800ED308","xboxkrnl.exe","10","7","0,02 %","0,01 %",""
"2","0x80092EB0","xboxkrnl.exe","34","7","0,07 %","0,01 %",""
"2","0x91F5F208","xbdm.xex","8","7","0,02 %","0,01 %",""
"2","0x819A3B44","xam.xex","7","7","0,01 %","0,01 %",""
"2","0x81A02430","xam.xex","59","6","0,12 %","0,01 %",""
"2","0x80085E68","xboxkrnl.exe","6","6","0,01 %","0,01 %",""
"2","0x8007FF80","xboxkrnl.exe","6","6","0,01 %","0,01 %",""
"2","0x819EA5B0","xam.xex","6","6","0,01 %","0,01 %",""
"2","0x81A4DDB8","xam.xex","215","6","0,43 %","0,01 %",""
"2","0x8011FE80","xboxkrnl.exe","83","6","0,16 %","0,01 %",""
"2","0x819EECB8","xam.xex","8","6","0,02 %","0,01 %",""
"2","0x81A02BE8","xam.xex","48","6","0,09 %","0,01 %",""
"2","0x81A24530","xam.xex","16","6","0,03 %","0,01 %",""
"2","0x819EC170","xam.xex","6","6","0,01 %","0,01 %",""
"2","0x819DEA88","xam.xex","571","6","1,13 %","0,01 %",""
"2","0x81A254E0","xam.xex","6","6","0,01 %","0,01 %",""
"2","0x81927130","xam.xex","6","6","0,01 %","0,01 %",""
"2","0x819A38A0","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819A3BA4","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819EBC80","xam.xex","6","5","0,01 %","0,01 %",""
"2","0x81927458","xam.xex","47","5","0,09 %","0,01 %",""
"2","0x819A3888","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x8007FF84","xboxkrnl.exe","5","5","0,01 %","0,01 %",""
"2","0x81A02224","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x8007FF7C","xboxkrnl.exe","5","5","0,01 %","0,01 %",""
"2","0x819ED058","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819A3914","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819A3910","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x81A280E0","xam.xex","27","5","0,05 %","0,01 %",""
"2","0x800721E4","xboxkrnl.exe","5","5","0,01 %","0,01 %",""
"2","0x81A28B70","xam.xex","31","5","0,06 %","0,01 %",""
"2","0x819FC630","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x81A03888","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819F3648","xam.xex","12","5","0,02 %","0,01 %",""
"2","0x81A003F8","xam.xex","69","5","0,14 %","0,01 %",""
"2","0x80095EF8","xboxkrnl.exe","5","5","0,01 %","0,01 %",""
"2","0x80099378","xboxkrnl.exe","5","5","0,01 %","0,01 %",""
"2","0x819EAA80","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819E86B0","xam.xex","150","5","0,30 %","0,01 %",""
"2","0x819ED788","xam.xex","10","5","0,02 %","0,01 %",""
"2","0x819263A0","xam.xex","5","5","0,01 %","0,01 %",""
"2","0x819F2890","xam.xex","15","5","0,03 %","0,01 %",""
"2","0x81A18088","xam.xex","99","4","0,20 %","0,01 %",""
"2","0x80086960","xboxkrnl.exe","6","4","0,01 %","0,01 %",""
"2","0x819FDA80","xam.xex","5","4","0,01 %","0,01 %",""
"2","0x819284F0","xam.xex","120","4","0,24 %","0,01 %",""
"2","0x81A4A070","xam.xex","5","4","0,01 %","0,01 %",""
"2","0x91F5D428","xbdm.xex","4","4","0,01 %","0,01 %",""
"2","0x91F38D70","xbdm.xex","13","4","0,03 %","0,01 %","Recursive"
"2","0x8009B5CC","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x819A3BAC","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x81B7E8E0","xam.xex","165","4","0,33 %","0,01 %",""
"2","D3D::VerticalBlankInterrupt","main.xex","5","4","0,01 %","0,01 %",""
"2","0x819EE368","xam.xex","6","4","0,01 %","0,01 %",""
"2","0x819EC240","xam.xex","5","4","0,01 %","0,01 %",""
"2","0x8009B2B4","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x819A47B0","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x81DEB824","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x80085C24","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x8008532C","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x819A4750","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x800907C0","xboxkrnl.exe","25","4","0,05 %","0,01 %",""
"2","0x81A010F0","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x81A0E058","xam.xex","328","4","0,65 %","0,01 %",""
"2","0x8007FFF4","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x819A3B3C","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x81926D78","xam.xex","7","4","0,01 %","0,01 %",""
"2","0x800EB470","xboxkrnl.exe","60","4","0,12 %","0,01 %",""
"2","0x8009F960","xboxkrnl.exe","7","4","0,01 %","0,01 %",""
"2","0x81A4C4D8","xam.xex","168","4","0,33 %","0,01 %",""
"2","0x819FC9F8","xam.xex","38","4","0,08 %","0,01 %",""
"2","0x819D9960","xam.xex","4","4","0,01 %","0,01 %",""
"2","0x80085D9C","xboxkrnl.exe","19","4","0,04 %","0,01 %",""
"2","0x91F503F0","xbdm.xex","74","4","0,15 %","0,01 %",""
"2","0x819F0538","xam.xex","138","4","0,27 %","0,01 %",""
"2","0x80072030","xboxkrnl.exe","4","4","0,01 %","0,01 %",""
"2","0x819F83D8","xam.xex","562","3","1,11 %","0,01 %",""
"2","0x81A02A68","xam.xex","5","3","0,01 %","0,01 %",""
"2","0x819FB97C","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x80088680","xboxkrnl.exe","10","3","0,02 %","0,01 %",""
"2","0x819A3B80","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x800EA3A8","xboxkrnl.exe","6","3","0,01 %","0,01 %",""
"2","0x80088FB0","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x81A00CB0","xam.xex","127","3","0,25 %","0,01 %",""
"2","0x81A02214","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x91F293D8","xbdm.xex","36","3","0,07 %","0,01 %",""
"2","0x800EC3D8","xboxkrnl.exe","583","3","1,15 %","0,01 %",""
"2","0x819FFAC8","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x819A4788","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x81A27B50","xam.xex","385","3","0,76 %","0,01 %",""
"2","0x800927B8","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x819D9C10","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x81A4A160","xam.xex","5","3","0,01 %","0,01 %",""
"2","0x8009F1D4","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x819E9608","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x81A4CF70","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x800EA528","xboxkrnl.exe","14","3","0,03 %","0,01 %",""
"2","0x800E75D8","xboxkrnl.exe","12","3","0,02 %","0,01 %",""
"2","0x8009DA40","xboxkrnl.exe","17","3","0,03 %","0,01 %",""
"2","0x8009F200","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x81A4CD08","xam.xex","7","3","0,01 %","0,01 %",""
"2","0x81A02234","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x8009D2C8","xboxkrnl.exe","13","3","0,03 %","0,01 %",""
"2","0x8007FFF8","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x819A3BA0","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x819EC840","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x819FC068","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x819F4860","xam.xex","63","3","0,12 %","0,01 %","Recursive"
"2","0x8009B2AC","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x819EB418","xam.xex","4","3","0,01 %","0,01 %",""
"2","0x80080004","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x819F7000","xam.xex","542","3","1,07 %","0,01 %",""
"2","0x8009B2B8","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x800892B0","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x81A06D28","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x81A039D8","xam.xex","4","3","0,01 %","0,01 %",""
"2","0x91F71440","xbdm.xex","153","3","0,30 %","0,01 %",""
"2","0x819F56A8","xam.xex","28","3","0,06 %","0,01 %",""
"2","0x819F27C8","xam.xex","11","3","0,02 %","0,01 %",""
"2","0x80085B48","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x81A03780","xam.xex","163","3","0,32 %","0,01 %",""
"2","0x819A3900","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x8009B2BC","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x81A4B0E0","xam.xex","4","3","0,01 %","0,01 %",""
"2","0x81A0222C","xam.xex","3","3","0,01 %","0,01 %",""
"2","0x8009B850","xboxkrnl.exe","3","3","0,01 %","0,01 %",""
"2","0x91F8F8F4","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x80096648","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x81A4AF08","xam.xex","3","2","0,01 %","0,00 %",""
"2","0x8008003C","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x80092540","xboxkrnl.exe","5","2","0,01 %","0,00 %",""
"2","0x801211CC","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819A3B30","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x91F29160","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x80085B30","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819FC638","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819A3A7C","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x8009B340","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x91F3DFCC","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x819EDB68","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819E960C","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x800858F8","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819A39D0","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819A47A8","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x801211B8","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x80085888","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x81A02218","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819A3ACC","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x8009B370","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819A3B5C","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x8009D980","xboxkrnl.exe","8","2","0,02 %","0,00 %",""
"2","0x91F5D848","xbdm.xex","3","2","0,01 %","0,00 %",""
"2","0x80072208","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x80121208","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x91F60BF8","xbdm.xex","4","2","0,01 %","0,00 %",""
"2","0x819A3B4C","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x81A4E388","xam.xex","11","2","0,02 %","0,00 %",""
"2","0x80084850","xboxkrnl.exe","6","2","0,01 %","0,00 %",""
"2","0x819ECB60","xam.xex","3","2","0,01 %","0,00 %",""
"2","0x80085334","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819EE8F8","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x81A4AB70","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819EAFC8","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x800721C0","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x80096098","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x91F8F7D4","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x80085600","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819E8C58","xam.xex","130","2","0,26 %","0,00 %",""
"2","0x80083008","xboxkrnl.exe","9","2","0,02 %","0,00 %",""
"2","0x819A3A78","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x81A4B4E0","xam.xex","4","2","0,01 %","0,00 %",""
"2","0x91F5E988","xbdm.xex","5","2","0,01 %","0,00 %",""
"2","0x819A3870","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x81A45E98","xam.xex","18","2","0,04 %","0,00 %",""
"2","0x8009B2C0","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x801211E0","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x81A025D0","xam.xex","16","2","0,03 %","0,00 %",""
"2","D3D::WorkerThread","main.xex","5","2","0,01 %","0,00 %",""
"2","0x819EDA58","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x819F1800","xam.xex","13","2","0,03 %","0,00 %",""
"2","0x80075D84","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819FB9B4","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x91F8FBB4","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x819F2630","xam.xex","10","2","0,02 %","0,00 %",""
"2","0x81926900","xam.xex","3","2","0,01 %","0,00 %",""
"2","0x819FB5D0","xam.xex","8","2","0,02 %","0,00 %",""
"2","0x8007FFB8","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819AFEE8","xam.xex","8","2","0,02 %","0,00 %",""
"2","0x8009B5B0","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819ED140","xam.xex","4","2","0,01 %","0,00 %",""
"2","0x91F29468","xbdm.xex","12","2","0,02 %","0,00 %",""
"2","0x91F8FA80","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x819EC0A0","xam.xex","2","2","0,00 %","0,00 %",""
"2","0x91F8F834","xbdm.xex","2","2","0,00 %","0,00 %",""
"2","0x81A00268","xam.xex","3","2","0,01 %","0,00 %",""
"2","0x80088980","xboxkrnl.exe","17","2","0,03 %","0,00 %",""
"2","0x819E8D28","xam.xex","3","2","0,01 %","0,00 %",""
"2","0x80080064","xboxkrnl.exe","2","2","0,00 %","0,00 %",""
"2","0x819E9E38","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A38AC","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819E9618","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x80072390","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x800800D4","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A38D0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8009B2C4","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81A4A3F0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3BA8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x80085898","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80099128","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819FC798","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819D9958","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x801211B0","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A3B38","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x800EA600","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80072370","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x91F3F630","xbdm.xex","3","1","0,01 %","0,00 %",""
"2","0x80072180","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80120630","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x8007FF30","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819EAD68","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x800EC968","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81DEB4A4","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3918","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3B40","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3898","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819FC658","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8008A620","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x8007FFA8","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819FC62C","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A38F4","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A38E8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3A00","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81A554D0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819EDCB0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x80085330","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81DEBBFC","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8009B34C","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80097200","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80080090","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A388C","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3AC8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F22230","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x8009FB18","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x800833C0","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819F3770","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F60B30","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3B7C","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x80095DA8","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80122708","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x801211C8","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81A4AFF0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8009FC90","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x800721C4","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A38A4","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3B68","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81A03F28","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81A55460","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81DEB814","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819FCB18","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F8FA04","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x81A554F0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3980","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x800EC298","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80080128","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x91F5ECC0","xbdm.xex","2","1","0,00 %","0,00 %",""
"2","0x80080034","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x8008591C","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x91F52A40","xbdm.xex","4","1","0,01 %","0,00 %",""
"2","0x819A3B34","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x80080098","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81A02478","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A39F0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819FB9A0","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x801206D0","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80087A60","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80072400","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819FC5F8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819EB750","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F73DC0","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3A10","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81A4EEA8","xam.xex","2","1","0,00 %","0,00 %",""
"2","0x81A494B8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F8FE34","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x81DEB2B4","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x819A4500","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8007FF44","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80075DBC","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80080030","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x8009911C","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A3A1C","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F502D0","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x819A3B48","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x8009B288","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x80072374","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81A11698","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x91F2DEA8","xbdm.xex","2","1","0,00 %","0,00 %",""
"2","0x91F74414","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x800B1680","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x81927A40","xam.xex","41","1","0,08 %","0,00 %",""
"2","0x91F36230","xbdm.xex","9","1","0,02 %","0,00 %",""
"2","0x800890B0","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x91F373C8","xbdm.xex","1","1","0,00 %","0,00 %",""
"2","0x80097CA0","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819A38C8","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x800851C8","xboxkrnl.exe","26","1","0,05 %","0,00 %",""
"2","0x91F70F50","xbdm.xex","8","1","0,02 %","0,00 %",""
"2","0x800800F8","xboxkrnl.exe","1","1","0,00 %","0,00 %",""
"2","0x819FB98C","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81DEB804","xam.xex","1","1","0,00 %","0,00 %",""
"2","0x81A4CF50","xam.xex","1","1","0,00 %","0,00 %",""
